sentence,frame,word
She'll say 'targ' this Sunday,You'll say '{word}' this Monday,targ
She'll say 'teepus' this Sunday,She'll say '{word}' this Sunday,teepus
She'll say 'teebus' this Sunday,We'll say '{word}' this Friday,teebus
She'll say 'turpus' this Sunday,They'll say '{word}' this Tuesday,turpus
She'll say 'turbus' this Sunday,I'll say '{word}' this Thursday,turbus
She'll say 'tarpus' this Sunday,You'll say '{word}' this Monday,tarpus
She'll say 'tarbus' this Sunday,She'll say '{word}' this Sunday,tarbus
She'll say 'teekus' this Sunday,We'll say '{word}' this Friday,teekus
She'll say 'teegus' this Sunday,They'll say '{word}' this Tuesday,teegus
She'll say 'turkus' this Sunday,I'll say '{word}' this Thursday,turkus
She'll say 'turgus' this Sunday,You'll say '{word}' this Monday,turgus
She'll say 'tarkus' this Sunday,She'll say '{word}' this Sunday,tarkus
She'll say 'targus' this Sunday,We'll say '{word}' this Friday,targus
We'll say 'teep' this Friday,I'll say '{word}' this Thursday,teep
We'll say 'teeb' this Friday,You'll say '{word}' this Monday,teeb
We'll say 'turp' this Friday,She'll say '{word}' this Sunday,turp
We'll say 'turb' this Friday,We'll say '{word}' this Friday,turb
We'll say 'tarp' this Friday,They'll say '{word}' this Tuesday,tarp
We'll say 'tarb' this Friday,I'll say '{word}' this Thursday,tarb
We'll say 'teek' this Friday,You'll say '{word}' this Monday,teek
We'll say 'teeg' this Friday,She'll say '{word}' this Sunday,teeg
We'll say 'turk' this Friday,We'll say '{word}' this Friday,turk
We'll say 'turg' this Friday,They'll say '{word}' this Tuesday,turg
We'll say 'tark' this Friday,I'll say '{word}' this Thursday,tark
We'll say 'targ' this Friday,You'll say '{word}' this Monday,targ
We'll say 'teepus' this Friday,She'll say '{word}' this Sunday,teepus
We'll say 'teebus' this Friday,We'll say '{word}' this Friday,teebus
We'll say 'turpus' this Friday,They'll say '{word}' this Tuesday,turpus
We'll say 'turbus' this Friday,I'll say '{word}' this Thursday,turbus
We'll say 'tarpus' this Friday,You'll say '{word}' this Monday,tarpus
We'll say 'tarbus' this Friday,She'll say '{word}' this Sunday,tarbus
We'll say 'teekus' this Friday,We'll say '{word}' this Friday,teekus
We'll say 'teegus' this Friday,They'll say '{word}' this Tuesday,teegus
We'll say 'turkus' this Friday,I'll say '{word}' this Thursday,turkus
We'll say 'turgus' this Friday,You'll say '{word}' this Monday,turgus
We'll say 'tarkus' this Friday,She'll say '{word}' this Sunday,tarkus
We'll say 'targus' this Friday,We'll say '{word}' this Friday,targus
They'll say 'teep' this Tuesday,I'll say '{word}' this Thursday,teep
They'll say 'teeb' this Tuesday,You'll say '{word}' this Monday,teeb
They'll say 'turp' this Tuesday,She'll say '{word}' this Sunday,turp
They'll say 'turb' this Tuesday,We'll say '{word}' this Friday,turb
They'll say 'tarp' this Tuesday,They'll say '{word}' this Tuesday,tarp
They'll say 'tarb' this Tuesday,I'll say '{word}' this Thursday,tarb
They'll say 'teek' this Tuesday,You'll say '{word}' this Monday,teek
They'll say 'teeg' this Tuesday,She'll say '{word}' this Sunday,teeg
They'll say 'turk' this Tuesday,We'll say '{word}' this Friday,turk
They'll say 'turg' this Tuesday,They'll say '{word}' this Tuesday,turg
They'll say 'tark' this Tuesday,I'll say '{word}' this Thursday,tark
They'll say 'targ' this Tuesday,You'll say '{word}' this Monday,targ
They'll say 'teepus' this Tuesday,She'll say '{word}' this Sunday,teepus
They'll say 'teebus' this Tuesday,We'll say '{word}' this Friday,teebus
They'll say 'turpus' this Tuesday,They'll say '{word}' this Tuesday,turpus
They'll say 'turbus' this Tuesday,I'll say '{word}' this Thursday,turbus
They'll say 'tarpus' this Tuesday,You'll say '{word}' this Monday,tarpus
They'll say 'tarbus' this Tuesday,She'll say '{word}' this Sunday,tarbus
They'll say 'teekus' this Tuesday,We'll say '{word}' this Friday,teekus
They'll say 'teegus' this Tuesday,They'll say '{word}' this Tuesday,teegus
They'll say 'turkus' this Tuesday,I'll say '{word}' this Thursday,turkus
They'll say 'turgus' this Tuesday,You'll say '{word}' this Monday,turgus
They'll say 'tarkus' this Tuesday,She'll say '{word}' this Sunday,tarkus
They'll say 'targus' this Tuesday,We'll say '{word}' this Friday,targus
